UTC_Year, UTC_Month, UTC_Day, UTC_Hour, Year, Month, Day, Hour, Capacity(kW)
'2019', '12', '19', '7', '2019', '12', '19', '2', '0.0'
'2019', '12', '19', '8', '2019', '12', '19', '3', '0.0'
'2019', '12', '19', '9', '2019', '12', '19', '4', '0.0'
'2019', '12', '19', '10', '2019', '12', '19', '5', '0.0'
'2019', '12', '19', '11', '2019', '12', '19', '6', '0.0'
'2019', '12', '19', '12', '2019', '12', '19', '7', '0.0'
'2019', '12', '19', '13', '2019', '12', '19', '8', '31459.47859899999'
'2019', '12', '19', '14', '2019', '12', '19', '9', '127726.56962499999'
'2019', '12', '19', '15', '2019', '12', '19', '10', '113894.138188'
'2019', '12', '19', '16', '2019', '12', '19', '11', '127457.614592'
'2019', '12', '19', '17', '2019', '12', '19', '12', '142004.60231300004'
'2019', '12', '19', '18', '2019', '12', '19', '13', '153895.406125'
'2019', '12', '19', '19', '2019', '12', '19', '14', '111425.71112699996'
'2019', '12', '19', '20', '2019', '12', '19', '15', '57879.20910999999'
'2019', '12', '19', '21', '2019', '12', '19', '16', '6248.992914'
'2019', '12', '19', '22', '2019', '12', '19', '17', '1801.075124'
'2019', '12', '19', '23', '2019', '12', '19', '18', '0.0'
'2019', '12', '20', '0', '2019', '12', '19', '19', '0.0'
'2019', '12', '20', '1', '2019', '12', '19', '20', '0.0'
'2019', '12', '20', '2', '2019', '12', '19', '21', '0.0'
'2019', '12', '20', '3', '2019', '12', '19', '22', '0.0'
'2019', '12', '20', '4', '2019', '12', '19', '23', '0.0'
'2019', '12', '20', '5', '2019', '12', '20', '0', '0.0'
'2019', '12', '20', '6', '2019', '12', '20', '1', '0.0'
'2019', '12', '20', '7', '2019', '12', '20', '2', '0.0'
'2019', '12', '20', '8', '2019', '12', '20', '3', '0.0'
'2019', '12', '20', '9', '2019', '12', '20', '4', '0.0'
'2019', '12', '20', '10', '2019', '12', '20', '5', '0.0'
'2019', '12', '20', '11', '2019', '12', '20', '6', '0.0'
'2019', '12', '20', '12', '2019', '12', '20', '7', '0.0'
'2019', '12', '20', '13', '2019', '12', '20', '8', '21283.914881999997'
'2019', '12', '20', '14', '2019', '12', '20', '9', '98533.554343'
'2019', '12', '20', '15', '2019', '12', '20', '10', '88567.215406'
'2019', '12', '20', '16', '2019', '12', '20', '11', '113277.90812599997'
'2019', '12', '20', '17', '2019', '12', '20', '12', '137110.02774999998'
'2019', '12', '20', '18', '2019', '12', '20', '13', '107765.32500000001'
'2019', '12', '20', '19', '2019', '12', '20', '14', '119974.89400300002'
'2019', '12', '20', '20', '2019', '12', '20', '15', '61788.86305700001'
'2019', '12', '20', '21', '2019', '12', '20', '16', '8252.179063000001'
'2019', '12', '20', '22', '2019', '12', '20', '17', '635.1874359999999'
'2019', '12', '20', '23', '2019', '12', '20', '18', '0.0'
'2019', '12', '21', '0', '2019', '12', '20', '19', '0.0'
'2019', '12', '21', '1', '2019', '12', '20', '20', '0.0'
'2019', '12', '21', '2', '2019', '12', '20', '21', '0.0'
'2019', '12', '21', '3', '2019', '12', '20', '22', '0.0'
'2019', '12', '21', '4', '2019', '12', '20', '23', '0.0'
'2019', '12', '21', '5', '2019', '12', '21', '0', '0.0'
'2019', '12', '21', '6', '2019', '12', '21', '1', '0.0'
'2019', '12', '21', '7', '2019', '12', '21', '2', '0.0'
'2019', '12', '21', '8', '2019', '12', '21', '3', '0.0'
'2019', '12', '21', '9', '2019', '12', '21', '4', '0.0'
'2019', '12', '21', '10', '2019', '12', '21', '5', '0.0'
'2019', '12', '21', '11', '2019', '12', '21', '6', '0.0'
'2019', '12', '21', '12', '2019', '12', '21', '7', '0.0'
'2019', '12', '21', '13', '2019', '12', '21', '8', '26363.29668'
'2019', '12', '21', '14', '2019', '12', '21', '9', '120188.80265700001'
'2019', '12', '21', '15', '2019', '12', '21', '10', '118671.68461'
'2019', '12', '21', '16', '2019', '12', '21', '11', '97331.676375'
'2019', '12', '21', '17', '2019', '12', '21', '12', '113957.87590700004'
'2019', '12', '21', '18', '2019', '12', '21', '13', '119200.00675000004'
'2019', '12', '21', '19', '2019', '12', '21', '14', '96786.69842200002'
'2019', '12', '21', '20', '2019', '12', '21', '15', '57043.951282999995'
'2019', '12', '21', '21', '2019', '12', '21', '16', '16756.5885'
'2019', '12', '21', '22', '2019', '12', '21', '17', '5861.446'
'2019', '12', '21', '23', '2019', '12', '21', '18', '0.0'
'2019', '12', '22', '0', '2019', '12', '21', '19', '0.0'
'2019', '12', '22', '1', '2019', '12', '21', '20', '0.0'
'2019', '12', '22', '2', '2019', '12', '21', '21', '0.0'
